epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,12110.8,2.31587,2.39288,0.01859,0.58544,0.6185,0.62768,0.42113,2.28183,2.23905,0.02695,0.000665057,0.000665057,0.000665057
56,12287.5,2.32845,2.38353,0.01841,0.60269,0.61767,0.63147,0.42076,2.29322,2.25106,0.02724,0.000650909,0.000650909,0.000650909
57,12457.9,2.30881,2.333,0.01831,0.5956,0.62988,0.63871,0.42881,2.27971,2.24173,0.02705,0.000636762,0.000636762,0.000636762
58,12634.2,2.29418,2.3287,0.01807,0.59831,0.62729,0.64452,0.43308,2.27524,2.20637,0.02714,0.000622615,0.000622615,0.000622615
59,12809.3,2.2701,2.29894,0.01789,0.61104,0.62647,0.64991,0.43815,2.27245,2.19597,0.02706,0.000608468,0.000608468,0.000608468
60,12985.5,2.26971,2.27741,0.01776,0.59911,0.62984,0.6506,0.43852,2.24428,2.20558,0.02649,0.000594321,0.000594321,0.000594321
61,13160.8,2.2697,2.27071,0.01763,0.63875,0.627,0.66937,0.45072,2.24395,2.18038,0.02651,0.000580174,0.000580174,0.000580174
62,13337.3,2.24517,2.27515,0.01768,0.61936,0.6322,0.65782,0.44596,2.22635,2.17377,0.02606,0.000566027,0.000566027,0.000566027
63,13507.8,2.23682,2.24309,0.0175,0.63069,0.62848,0.66561,0.45491,2.23048,2.15561,0.02629,0.00055188,0.00055188,0.00055188
64,13683.2,2.22275,2.21411,0.01738,0.62911,0.63952,0.65985,0.44838,2.22494,2.15485,0.02616,0.000537733,0.000537733,0.000537733
65,13851.4,2.213,2.21066,0.01746,0.62119,0.64595,0.66593,0.45956,2.21568,2.12258,0.02615,0.000523586,0.000523586,0.000523586
66,14026.4,2.19752,2.19584,0.01728,0.64425,0.6297,0.66826,0.45381,2.21653,2.12242,0.02629,0.000509438,0.000509438,0.000509438
67,14197.2,2.20618,2.18261,0.01695,0.63502,0.63465,0.6681,0.45753,2.21725,2.15599,0.0262,0.000495291,0.000495291,0.000495291
68,14367.2,2.17829,2.16877,0.01716,0.62632,0.62773,0.65546,0.44762,2.21975,2.16087,0.02621,0.000481144,0.000481144,0.000481144
69,14537,2.2065,2.16268,0.01723,0.65155,0.63019,0.66784,0.45978,2.20342,2.11912,0.02586,0.000466997,0.000466997,0.000466997
70,14713.4,2.15126,2.13167,0.01717,0.62782,0.63882,0.65735,0.45031,2.20487,2.13689,0.02599,0.00045285,0.00045285,0.00045285
71,14881.5,2.15533,2.11247,0.01648,0.63824,0.63235,0.66212,0.45429,2.21872,2.13813,0.02624,0.000438703,0.000438703,0.000438703
72,15050.1,2.13374,2.11296,0.01655,0.61769,0.65605,0.66848,0.45793,2.20036,2.11521,0.02587,0.000424556,0.000424556,0.000424556
73,15219.6,2.13911,2.06137,0.01648,0.61862,0.65791,0.66954,0.45953,2.18325,2.12055,0.0256,0.000410409,0.000410409,0.000410409
74,15387.9,2.13416,2.07088,0.01654,0.62264,0.65588,0.67156,0.46356,2.18649,2.10831,0.0257,0.000396262,0.000396262,0.000396262
75,15562.7,2.12325,2.06068,0.01635,0.64089,0.64555,0.67332,0.46418,2.18847,2.11492,0.02571,0.000382115,0.000382115,0.000382115
76,15737.7,2.12322,2.08667,0.01652,0.62509,0.64259,0.66508,0.45841,2.18783,2.1298,0.0257,0.000367967,0.000367967,0.000367967
77,15908.1,2.09707,2.02567,0.01618,0.64164,0.63113,0.67095,0.46089,2.19456,2.1269,0.02593,0.00035382,0.00035382,0.00035382
78,16077,2.08172,1.99839,0.01626,0.63713,0.64068,0.66741,0.45984,2.17494,2.12966,0.02543,0.000339673,0.000339673,0.000339673
79,16245.3,2.0599,1.98476,0.01592,0.62372,0.64653,0.67064,0.46341,2.18713,2.12146,0.02578,0.000325526,0.000325526,0.000325526
80,16413.7,2.07738,2.00043,0.01601,0.61187,0.66748,0.6777,0.4687,2.18039,2.10873,0.02564,0.000311379,0.000311379,0.000311379
81,16589.1,2.05984,1.95952,0.01576,0.64032,0.63847,0.67675,0.46841,2.17514,2.09121,0.02556,0.000297232,0.000297232,0.000297232
82,16758,2.06301,1.97118,0.01577,0.65571,0.63795,0.6777,0.46981,2.17921,2.11102,0.02574,0.000283085,0.000283085,0.000283085
83,16933.5,2.06188,1.95684,0.01585,0.65344,0.63848,0.67691,0.46816,2.179,2.11586,0.02562,0.000268938,0.000268938,0.000268938
84,17102.4,2.02788,1.93074,0.01568,0.64663,0.65455,0.68198,0.47542,2.1577,2.09247,0.02515,0.000254791,0.000254791,0.000254791
85,17277.3,2.02865,1.92407,0.01543,0.64609,0.64967,0.67693,0.47028,2.17236,2.09315,0.02546,0.000240644,0.000240644,0.000240644
86,17446.1,2.0192,1.90239,0.01545,0.64045,0.65776,0.67539,0.46754,2.16849,2.11145,0.02545,0.000226497,0.000226497,0.000226497
87,17615.2,2.03651,1.90742,0.01544,0.62975,0.66701,0.67867,0.47254,2.17151,2.08931,0.02554,0.000212349,0.000212349,0.000212349
88,17783.1,2.01786,1.89033,0.01528,0.63717,0.66193,0.67884,0.47183,2.16601,2.1042,0.0254,0.000198202,0.000198202,0.000198202
89,17951.9,1.99711,1.865,0.01516,0.64088,0.65047,0.67203,0.46701,2.16352,2.11117,0.02545,0.000184055,0.000184055,0.000184055
90,18120.5,1.99879,1.88598,0.01531,0.63693,0.66049,0.67786,0.47014,2.15782,2.10635,0.02526,0.000169908,0.000169908,0.000169908
91,18289.9,1.79493,1.49831,0.01607,0.66302,0.6405,0.68269,0.47209,2.1704,2.09598,0.02556,0.000155761,0.000155761,0.000155761
92,18458,1.75161,1.43208,0.01565,0.65241,0.65455,0.67874,0.4716,2.16329,2.12449,0.02538,0.000141614,0.000141614,0.000141614
93,18626.6,1.74577,1.42576,0.01553,0.63919,0.65442,0.67347,0.46889,2.16084,2.13927,0.02536,0.000127467,0.000127467,0.000127467
94,18796.7,1.7363,1.39007,0.01553,0.66833,0.63278,0.6812,0.47433,2.15834,2.12692,0.02519,0.00011332,0.00011332,0.00011332
95,18968.9,1.7197,1.37277,0.0152,0.65449,0.64034,0.67577,0.46928,2.1629,2.13544,0.02534,9.91726e-05,9.91726e-05,9.91726e-05
96,19137.8,1.71724,1.38212,0.01527,0.64615,0.65818,0.67698,0.47082,2.15797,2.13376,0.02528,8.50255e-05,8.50255e-05,8.50255e-05
97,19306.7,1.69467,1.34812,0.01498,0.63786,0.65251,0.6797,0.4738,2.15427,2.13855,0.02518,7.08784e-05,7.08784e-05,7.08784e-05
98,19474.7,1.70659,1.34936,0.01505,0.64471,0.65621,0.67638,0.47219,2.14964,2.13249,0.02508,5.67313e-05,5.67313e-05,5.67313e-05
99,19643,1.68526,1.33927,0.01475,0.62527,0.66322,0.67248,0.47008,2.14803,2.14476,0.02506,4.25842e-05,4.25842e-05,4.25842e-05
100,19812.1,1.69115,1.33954,0.01478,0.62612,0.66478,0.67289,0.46968,2.1456,2.15725,0.02504,2.84371e-05,2.84371e-05,2.84371e-05
