epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,11363,2.23719,2.19667,0.01753,0.61462,0.65765,0.66137,0.44977,2.24815,2.15922,0.02657,0.000537733,0.000537733,0.000537733
65,11533,2.22696,2.18328,0.01764,0.62315,0.65131,0.66536,0.45384,2.23093,2.13836,0.02654,0.000523586,0.000523586,0.000523586
66,11714.4,2.22191,2.16255,0.01756,0.60805,0.64079,0.65469,0.44336,2.24851,2.18387,0.02674,0.000509438,0.000509438,0.000509438
67,11886.1,2.22499,2.16193,0.01721,0.61952,0.66859,0.66576,0.45202,2.22934,2.15749,0.02658,0.000495291,0.000495291,0.000495291
68,12056.6,2.19255,2.15095,0.01731,0.60495,0.64655,0.65476,0.44798,2.21647,2.16121,0.02612,0.000481144,0.000481144,0.000481144
69,12226.4,2.21303,2.15152,0.01731,0.61483,0.6504,0.66189,0.45286,2.22162,2.18796,0.02625,0.000466997,0.000466997,0.000466997
70,12395.8,2.16682,2.10794,0.0174,0.63443,0.64446,0.66923,0.45899,2.20786,2.13657,0.0261,0.00045285,0.00045285,0.00045285
71,12569.5,2.16677,2.07968,0.01659,0.61712,0.64958,0.66222,0.45392,2.20349,2.15544,0.02605,0.000438703,0.000438703,0.000438703
72,12737.7,2.14878,2.08701,0.01673,0.62624,0.6498,0.67036,0.45858,2.2104,2.13667,0.02629,0.000424556,0.000424556,0.000424556
73,12906.2,2.14456,2.04294,0.01654,0.62983,0.64975,0.67117,0.45961,2.20391,2.12102,0.02603,0.000410409,0.000410409,0.000410409
74,13086.4,2.15438,2.0558,0.01676,0.61831,0.66042,0.66509,0.45967,2.18516,2.12328,0.02572,0.000396262,0.000396262,0.000396262
75,13257.9,2.13568,2.03452,0.01657,0.64055,0.64381,0.67009,0.46274,2.17911,2.12084,0.02574,0.000382115,0.000382115,0.000382115
76,13444.4,2.12738,2.05367,0.01658,0.61219,0.66629,0.67005,0.46394,2.18368,2.12526,0.02575,0.000367967,0.000367967,0.000367967
77,13625,2.11593,1.98711,0.01638,0.61937,0.66867,0.6706,0.46252,2.19506,2.12553,0.02595,0.00035382,0.00035382,0.00035382
78,13793.8,2.09953,1.98445,0.01643,0.63317,0.65684,0.67367,0.4658,2.18257,2.11785,0.02574,0.000339673,0.000339673,0.000339673
79,13977.1,2.06952,1.95249,0.01608,0.63017,0.65262,0.67448,0.46742,2.18996,2.11113,0.02591,0.000325526,0.000325526,0.000325526
80,14162.4,2.08461,1.96883,0.01617,0.63119,0.65489,0.6768,0.4686,2.17839,2.11225,0.02569,0.000311379,0.000311379,0.000311379
81,14340.5,2.06633,1.93281,0.01589,0.62298,0.65775,0.67399,0.46611,2.17046,2.10315,0.0255,0.000297232,0.000297232,0.000297232
82,14510.6,2.06269,1.9365,0.01584,0.63722,0.65905,0.68011,0.47179,2.17853,2.08745,0.02576,0.000283085,0.000283085,0.000283085
