epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2550.96,1.07375,1.20293,1.38748,0.60566,0.62088,0.64612,0.43985,1.10698,1.16589,1.47822,0.000665057,0.000665057,0.000665057
56,2595.81,1.07399,1.19129,1.38166,0.58843,0.64257,0.64419,0.43754,1.10252,1.15688,1.47423,0.000650909,0.000650909,0.000650909
57,2639.73,1.06346,1.17719,1.37534,0.60448,0.62646,0.64424,0.43456,1.11386,1.19703,1.47761,0.000636762,0.000636762,0.000636762
58,2684.6,1.0671,1.1738,1.37477,0.62293,0.62457,0.65399,0.44779,1.08677,1.15234,1.45495,0.000622615,0.000622615,0.000622615
59,2727.97,1.06392,1.16378,1.37153,0.59408,0.64696,0.6464,0.43663,1.10128,1.16101,1.47646,0.000608468,0.000608468,0.000608468
60,2771.11,1.06121,1.15359,1.37215,0.62105,0.6347,0.66383,0.45181,1.09506,1.13347,1.47507,0.000594321,0.000594321,0.000594321
61,2820.18,1.05981,1.15906,1.36269,0.62822,0.62539,0.65412,0.45065,1.07704,1.17514,1.45114,0.000580174,0.000580174,0.000580174
62,2861.05,1.04365,1.1518,1.35982,0.62489,0.62768,0.66239,0.45119,1.08134,1.138,1.46298,0.000566027,0.000566027,0.000566027
63,2903.79,1.04151,1.13906,1.35222,0.60649,0.65018,0.66197,0.45401,1.08256,1.13882,1.45531,0.00055188,0.00055188,0.00055188
64,2948.75,1.03738,1.12762,1.34742,0.60143,0.64952,0.65535,0.44321,1.09576,1.15198,1.46307,0.000537733,0.000537733,0.000537733
65,2991.11,1.03231,1.12704,1.34946,0.60433,0.6633,0.66517,0.45638,1.07921,1.11822,1.44313,0.000523586,0.000523586,0.000523586
66,3036.24,1.02649,1.11495,1.34265,0.61145,0.66318,0.67039,0.45965,1.06922,1.12619,1.44205,0.000509438,0.000509438,0.000509438
67,3080.29,1.02865,1.10949,1.3345,0.64185,0.61747,0.66134,0.45273,1.07864,1.14691,1.44506,0.000495291,0.000495291,0.000495291
68,3121.78,1.01516,1.1101,1.33705,0.61722,0.63729,0.65498,0.44852,1.0772,1.13218,1.44762,0.000481144,0.000481144,0.000481144
69,3165.21,1.02762,1.10888,1.33888,0.65166,0.59703,0.66408,0.45756,1.07991,1.14113,1.44198,0.000466997,0.000466997,0.000466997
70,3206.95,1.01032,1.0937,1.33559,0.63932,0.64711,0.67487,0.4658,1.06289,1.09924,1.42926,0.00045285,0.00045285,0.00045285
71,3252.99,1.00479,1.07189,1.31812,0.6285,0.63941,0.67271,0.46196,1.07009,1.10309,1.44281,0.000438703,0.000438703,0.000438703
72,3294.89,1.00301,1.08303,1.32459,0.61351,0.65709,0.67112,0.46168,1.07457,1.1042,1.44297,0.000424556,0.000424556,0.000424556
73,3337.39,0.99916,1.06321,1.31591,0.62325,0.64667,0.67063,0.46106,1.06593,1.10128,1.43502,0.000410409,0.000410409,0.000410409
74,3379.68,0.99831,1.06906,1.31462,0.64477,0.61638,0.67353,0.46629,1.06364,1.11955,1.43693,0.000396262,0.000396262,0.000396262
75,3425.47,0.99199,1.0561,1.31149,0.62826,0.65075,0.67847,0.46945,1.06392,1.11602,1.42857,0.000382115,0.000382115,0.000382115
76,3472.2,0.9945,1.07374,1.31314,0.60816,0.65898,0.66831,0.46303,1.05685,1.08782,1.42766,0.000367967,0.000367967,0.000367967
77,3514.06,0.99096,1.04919,1.30627,0.62986,0.64214,0.67185,0.46229,1.06313,1.10696,1.42487,0.00035382,0.00035382,0.00035382
78,3555.56,0.98229,1.04087,1.30291,0.63427,0.64229,0.67754,0.46961,1.05547,1.08813,1.41743,0.000339673,0.000339673,0.000339673
79,3602.1,0.9736,1.02519,1.29463,0.61648,0.6712,0.67971,0.46941,1.04997,1.09195,1.42038,0.000325526,0.000325526,0.000325526
80,3645.52,0.97525,1.03014,1.29606,0.61528,0.67183,0.67646,0.46926,1.06476,1.08166,1.42496,0.000311379,0.000311379,0.000311379
