epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4231.47,2.35258,2.37936,0.01861,0.56731,0.61272,0.61776,0.41087,2.39114,2.36207,0.02843,0.000382115,0.000382115,0.000382115
76,4439.49,2.35513,2.36951,0.01825,0.5732,0.61336,0.61733,0.40834,2.39691,2.34924,0.02841,0.000367967,0.000367967,0.000367967
77,4640.06,2.35703,2.36065,0.0183,0.58616,0.61571,0.61692,0.40881,2.39135,2.35621,0.02835,0.00035382,0.00035382,0.00035382
78,4835.5,2.3467,2.35883,0.0184,0.56321,0.63791,0.62008,0.4127,2.38987,2.35398,0.02838,0.000339673,0.000339673,0.000339673
79,5035.17,2.32919,2.30131,0.01823,0.57897,0.6137,0.62204,0.41273,2.3797,2.3405,0.02824,0.000325526,0.000325526,0.000325526
80,5231.08,2.31084,2.30803,0.01797,0.58131,0.61844,0.62434,0.41474,2.37768,2.33753,0.02816,0.000311379,0.000311379,0.000311379
81,5426.38,2.30567,2.29466,0.01796,0.58486,0.62141,0.62424,0.41773,2.37479,2.31568,0.02831,0.000297232,0.000297232,0.000297232
82,5621.32,2.29973,2.27613,0.01803,0.58508,0.62312,0.62666,0.41571,2.36717,2.33965,0.02819,0.000283085,0.000283085,0.000283085
83,5818.28,2.28894,2.26646,0.01782,0.58831,0.61679,0.62344,0.41469,2.36198,2.33841,0.02812,0.000268938,0.000268938,0.000268938
84,6014.15,2.29358,2.27028,0.01793,0.57226,0.63674,0.62441,0.41458,2.36979,2.34361,0.02817,0.000254791,0.000254791,0.000254791
85,6205.86,2.31251,2.30792,0.01837,0.59326,0.61732,0.62105,0.41429,2.37489,2.34047,0.02815,0.000240644,0.000240644,0.000240644
86,6400.61,2.30678,2.29112,0.01809,0.58547,0.61748,0.62396,0.41637,2.37082,2.33396,0.02826,0.000226497,0.000226497,0.000226497
87,6595.72,2.30843,2.29575,0.01824,0.59531,0.61676,0.62885,0.41939,2.36323,2.31142,0.02803,0.000212349,0.000212349,0.000212349
88,6801.9,2.30685,2.27681,0.01802,0.59768,0.60672,0.62447,0.41672,2.36352,2.32971,0.02801,0.000198202,0.000198202,0.000198202
89,7012.07,2.25977,2.23004,0.01781,0.58423,0.63128,0.62894,0.4201,2.36171,2.31214,0.02797,0.000184055,0.000184055,0.000184055
90,7207.02,2.26968,2.23396,0.01775,0.57016,0.63111,0.62503,0.41928,2.35767,2.31681,0.02788,0.000169908,0.000169908,0.000169908
91,7405.2,2.09402,1.878,0.01903,0.57974,0.61944,0.62366,0.41388,2.37841,2.35188,0.0282,0.000155761,0.000155761,0.000155761
92,7599.23,2.04635,1.81676,0.01868,0.57396,0.6418,0.6301,0.41953,2.3595,2.33063,0.0279,0.000141614,0.000141614,0.000141614
93,7791.71,2.03839,1.8023,0.01841,0.5705,0.62551,0.62699,0.4165,2.36086,2.35701,0.02787,0.000127467,0.000127467,0.000127467
94,7983.29,2.00329,1.77691,0.01812,0.57391,0.62731,0.62664,0.41914,2.3528,2.33549,0.02781,0.00011332,0.00011332,0.00011332
95,8176.61,1.99788,1.73068,0.01813,0.58844,0.60853,0.62425,0.41731,2.35553,2.35266,0.02788,9.91726e-05,9.91726e-05,9.91726e-05
96,8367.73,1.99731,1.75365,0.01806,0.59436,0.60443,0.62664,0.41952,2.35661,2.34252,0.0279,8.50255e-05,8.50255e-05,8.50255e-05
97,8560.29,1.97431,1.72073,0.01779,0.58741,0.62512,0.63314,0.42346,2.34898,2.32273,0.02775,7.08784e-05,7.08784e-05,7.08784e-05
98,8783.95,1.98304,1.72363,0.01788,0.6035,0.61133,0.63343,0.42467,2.34539,2.31423,0.02771,5.67313e-05,5.67313e-05,5.67313e-05
99,8987.23,1.97402,1.71741,0.01778,0.58688,0.62578,0.63048,0.42105,2.34803,2.3379,0.02776,4.25842e-05,4.25842e-05,4.25842e-05
100,9063.78,1.95315,1.67648,0.01756,0.58621,0.62329,0.63227,0.42305,2.3471,2.32388,0.02776,2.84371e-05,2.84371e-05,2.84371e-05
