epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4255.31,1.13105,1.39584,1.49117,0.57532,0.63582,0.62366,0.42041,1.10656,1.24913,1.49138,0.000382115,0.000382115,0.000382115
76,4294.11,1.12636,1.40022,1.49066,0.55979,0.64797,0.6203,0.41449,1.11636,1.24576,1.50346,0.000367967,0.000367967,0.000367967
77,4329.63,1.12421,1.37771,1.4865,0.56889,0.63379,0.61737,0.41326,1.10669,1.24853,1.49753,0.00035382,0.00035382,0.00035382
78,4363.74,1.11911,1.37633,1.47998,0.58453,0.62117,0.6238,0.41868,1.11432,1.23793,1.49892,0.000339673,0.000339673,0.000339673
79,4398.94,1.10944,1.35717,1.47257,0.57093,0.64519,0.62688,0.42103,1.10812,1.24258,1.49586,0.000325526,0.000325526,0.000325526
80,4436.97,1.11436,1.36241,1.47441,0.57777,0.6375,0.62476,0.41837,1.11001,1.24058,1.49531,0.000311379,0.000311379,0.000311379
81,4472.26,1.10236,1.34384,1.46807,0.59043,0.63623,0.63173,0.42415,1.10221,1.22378,1.49079,0.000297232,0.000297232,0.000297232
82,4510.01,1.10381,1.35341,1.46464,0.58243,0.63039,0.62842,0.42278,1.10514,1.22666,1.49379,0.000283085,0.000283085,0.000283085
83,4545.17,1.10898,1.35642,1.46842,0.59005,0.64227,0.6347,0.42568,1.10367,1.22222,1.49138,0.000268938,0.000268938,0.000268938
84,4584.31,1.09238,1.33925,1.46015,0.58205,0.64811,0.631,0.42533,1.09599,1.22377,1.48787,0.000254791,0.000254791,0.000254791
85,4619.57,1.09355,1.3336,1.45374,0.5832,0.65127,0.63383,0.42829,1.09465,1.20708,1.47991,0.000240644,0.000240644,0.000240644
86,4657.27,1.09034,1.32845,1.45417,0.58724,0.64546,0.64121,0.43247,1.10066,1.21173,1.48827,0.000226497,0.000226497,0.000226497
87,4696.13,1.09775,1.32832,1.46098,0.58441,0.64335,0.63591,0.42944,1.09784,1.21174,1.48513,0.000212349,0.000212349,0.000212349
88,4731.14,1.08868,1.31961,1.45251,0.59643,0.6407,0.64156,0.43511,1.09058,1.20427,1.47945,0.000198202,0.000198202,0.000198202
89,4769.96,1.0824,1.30843,1.4492,0.59645,0.64683,0.63787,0.43267,1.08934,1.20353,1.47538,0.000184055,0.000184055,0.000184055
90,4804.79,1.08372,1.32702,1.45192,0.61828,0.63355,0.64379,0.43489,1.09106,1.20386,1.4789,0.000169908,0.000169908,0.000169908
91,4840.98,1.03217,1.22199,1.39775,0.60363,0.6275,0.63413,0.42805,1.10563,1.22112,1.48838,0.000155761,0.000155761,0.000155761
92,4875.21,0.99365,1.14596,1.37157,0.58657,0.64588,0.63503,0.42996,1.09787,1.21368,1.48359,0.000141614,0.000141614,0.000141614
93,4909.75,0.99766,1.14006,1.37715,0.60009,0.6403,0.63616,0.42953,1.09834,1.21003,1.48113,0.000127467,0.000127467,0.000127467
94,4943.64,0.99043,1.12848,1.36552,0.59324,0.65156,0.6413,0.43394,1.09584,1.20073,1.48444,0.00011332,0.00011332,0.00011332
95,4977.57,0.98225,1.11173,1.36254,0.59733,0.64649,0.64503,0.43683,1.09332,1.19868,1.47983,9.91726e-05,9.91726e-05,9.91726e-05
96,5015.4,0.97824,1.1144,1.3595,0.61034,0.63562,0.64469,0.43566,1.09512,1.19706,1.48148,8.50255e-05,8.50255e-05,8.50255e-05
97,5049.89,0.97219,1.09263,1.35579,0.60489,0.63337,0.64242,0.43551,1.09686,1.19791,1.48358,7.08784e-05,7.08784e-05,7.08784e-05
98,5084.64,0.97512,1.09738,1.36099,0.59375,0.64913,0.64391,0.43672,1.09665,1.19489,1.48624,5.67313e-05,5.67313e-05,5.67313e-05
99,5120.3,0.97123,1.08779,1.35428,0.61318,0.62688,0.64491,0.43614,1.09651,1.195,1.48238,4.25842e-05,4.25842e-05,4.25842e-05
100,5153.92,0.9679,1.09167,1.34882,0.61886,0.63237,0.64728,0.4375,1.0947,1.19351,1.48213,2.84371e-05,2.84371e-05,2.84371e-05
